iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,910,0,910,0.0,0,500,0.0,4.192483425140381,4.192447662353516
250,10,910,80,910,0.0494505494505494,0,500,0.0,1.929157972335816,1.9332889318466189
500,98,910,78,910,0.0967032967032967,0,500,0.0,1.1332595348358154,1.1311990022659302
750,100,910,72,910,0.0945054945054945,0,500,0.0,0.9293888807296752,0.9285338521003724
1000,189,910,92,910,0.1543956043956044,30,500,0.06,0.8026978373527527,0.8026204109191895
1250,267,910,116,910,0.2104395604395604,84,500,0.168,0.737159013748169,0.7388011813163757
1500,297,910,196,910,0.2708791208791208,131,500,0.262,0.7238330841064453,0.7228267192840576
1750,371,910,242,910,0.3368131868131868,106,500,0.212,0.7019065022468567,0.6981220245361328
2000,408,910,295,910,0.3862637362637363,235,500,0.47,0.6573177576065063,0.6599696278572083
2250,479,910,396,910,0.4807692307692308,218,500,0.436,0.6274107098579407,0.6298920512199402
2500,512,910,509,910,0.560989010989011,227,500,0.454,0.6140462756156921,0.6140286922454834
2750,577,910,555,910,0.621978021978022,210,500,0.42,0.6022443175315857,0.6030864715576172
3000,585,910,502,910,0.5972527472527472,244,500,0.488,0.6127299666404724,0.6131576895713806
3250,578,910,571,910,0.6313186813186813,298,500,0.596,0.5839769840240479,0.5849928855895996
3500,661,910,548,910,0.6642857142857143,284,500,0.568,0.5863961577415466,0.5857388973236084
3750,610,910,408,910,0.5593406593406594,290,500,0.58,0.5850545763969421,0.5837252736091614
4000,619,910,507,910,0.6186813186813187,350,500,0.7,0.5757840275764465,0.5783625245094299
4250,605,910,673,910,0.7021978021978021,286,500,0.572,0.5810019969940186,0.5812366008758545
4500,623,910,642,910,0.695054945054945,324,500,0.648,0.5701956748962402,0.5702253580093384
4750,520,910,525,910,0.5741758241758241,282,500,0.564,0.5907198786735535,0.5903881788253784
5000,640,910,590,910,0.6758241758241759,310,500,0.62,0.5599405765533447,0.5611791610717773
5250,705,910,670,910,0.7554945054945055,276,500,0.552,0.5546408891677856,0.5539180040359497
5500,685,910,691,910,0.756043956043956,292,500,0.584,0.5442821383476257,0.5447672009468079
5750,670,910,692,910,0.7483516483516484,294,500,0.588,0.535403847694397,0.5368704199790955
6000,650,910,648,910,0.7131868131868132,337,500,0.674,0.549514651298523,0.5498815178871155
6250,738,910,647,910,0.760989010989011,326,500,0.652,0.5532746315002441,0.5530935525894165
6500,683,910,666,910,0.7412087912087912,305,500,0.61,0.5324276089668274,0.5322736501693726
6750,710,910,719,910,0.7851648351648352,317,500,0.634,0.5333739519119263,0.5316166281700134
7000,750,910,738,910,0.8175824175824176,339,500,0.678,0.5302706956863403,0.5302392840385437
7250,603,910,607,910,0.6648351648351648,324,500,0.648,0.53352952003479,0.5317908525466919
7500,657,910,743,910,0.7692307692307693,287,500,0.574,0.5236480832099915,0.5248128771781921
7750,699,910,668,910,0.7510989010989011,319,500,0.638,0.5229332447052002,0.5207362174987793
8000,714,910,678,910,0.7648351648351648,361,500,0.722,0.5173273682594299,0.5172367095947266
8250,685,910,715,910,0.7692307692307693,415,500,0.83,0.5079029202461243,0.507607102394104
8500,729,910,614,910,0.737912087912088,415,500,0.83,0.5073560476303101,0.5071211457252502
8750,728,910,645,910,0.7543956043956044,370,500,0.74,0.5285860300064087,0.5276907086372375
