iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,910,0,910,0.0,0,500,0.0,4.237463474273682,4.237362384796143
250,10,910,96,910,0.0582417582417582,0,500,0.0,1.464298963546753,1.4626246690750122
500,100,910,90,910,0.1043956043956044,0,500,0.0,0.8934381008148193,0.8930590748786926
750,182,910,90,910,0.1494505494505494,140,500,0.28,0.6688703298568726,0.6679919958114624
1000,475,910,328,910,0.4412087912087912,386,500,0.772,0.5674303770065308,0.5691354870796204
1250,797,910,530,910,0.7291208791208791,424,500,0.848,0.4692862331867218,0.4691133499145508
1500,862,910,630,910,0.8197802197802198,423,500,0.846,0.4072120189666748,0.4074060320854187
1750,826,910,629,910,0.7994505494505495,441,500,0.882,0.3799411654472351,0.3801060616970062
2000,820,910,635,910,0.7994505494505495,413,500,0.826,0.3624458014965057,0.3627565801143646
2250,816,910,639,910,0.7994505494505495,447,500,0.894,0.3384681344032287,0.3380636274814605
2500,871,910,764,910,0.8983516483516484,440,500,0.88,0.3117000162601471,0.3110477328300476
2750,820,910,640,910,0.8021978021978022,490,500,0.98,0.3035202622413635,0.3030614852905273
3000,850,910,770,910,0.8901098901098901,476,500,0.952,0.2978346347808838,0.2981213629245758
3250,777,910,757,910,0.8428571428571429,460,500,0.92,0.2983336448669433,0.2996155023574829
3500,795,910,851,910,0.9043956043956044,451,500,0.902,0.2897217869758606,0.2899219989776611
3750,870,910,806,910,0.9208791208791208,446,500,0.892,0.2795191705226898,0.2802625596523285
4000,877,910,718,910,0.8763736263736264,460,500,0.92,0.2903525233268738,0.2894609570503235
4250,860,910,823,910,0.9247252747252748,470,500,0.94,0.2764527797698974,0.2759265899658203
4500,840,910,764,910,0.8813186813186813,470,500,0.94,0.2837563455104828,0.2838336825370788
4750,880,910,790,910,0.9175824175824177,480,500,0.96,0.2689177989959717,0.2690107226371765
5000,846,910,810,910,0.90989010989011,480,500,0.96,0.2764999866485595,0.276120513677597
5250,880,910,810,910,0.9285714285714286,457,500,0.914,0.2687695324420929,0.2685075998306274
5500,836,910,810,910,0.9043956043956044,480,500,0.96,0.2782269716262817,0.2791667878627777
5750,880,910,780,910,0.912087912087912,484,500,0.968,0.2729255259037018,0.2731079459190368
6000,870,910,666,910,0.843956043956044,470,500,0.94,0.2707309424877167,0.2708805203437805
6250,860,910,800,910,0.912087912087912,460,500,0.92,0.2826915681362152,0.2830703258514404
6500,850,910,770,910,0.8901098901098901,416,500,0.832,0.2638584673404693,0.2630811035633087
6750,865,910,810,910,0.9203296703296704,480,500,0.96,0.2618736028671264,0.2617353796958923
7000,810,910,862,910,0.9186813186813186,470,500,0.94,0.2595162987709045,0.2602951228618622
7250,850,910,821,910,0.918131868131868,490,500,0.98,0.2663556039333343,0.2668085694313049
7500,850,910,730,910,0.8681318681318682,430,500,0.86,0.2660657465457916,0.2660989463329315
7750,880,910,780,910,0.912087912087912,470,500,0.94,0.2618657648563385,0.2619688212871551
8000,880,910,830,910,0.9395604395604396,483,500,0.966,0.2574734985828399,0.257979154586792
8250,870,910,830,910,0.934065934065934,462,500,0.924,0.2633890807628631,0.2637137174606323
8500,846,910,833,910,0.9225274725274726,466,500,0.932,0.2558281123638153,0.2561126947402954
8750,853,910,820,910,0.9192307692307692,480,500,0.96,0.2490161061286926,0.2502312362194061
9000,880,910,858,910,0.954945054945055,490,500,0.98,0.2566990256309509,0.2572624981403351
9250,870,910,840,910,0.9395604395604396,480,500,0.96,0.2518109381198883,0.2515569925308227
9500,870,910,840,910,0.9395604395604396,487,500,0.974,0.2545073926448822,0.2540332674980163
9750,885,910,820,910,0.9368131868131868,490,500,0.98,0.2512669861316681,0.2505286335945129
10000,857,910,810,910,0.915934065934066,450,500,0.9,0.2539517283439636,0.2538883686065674
