iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,910,0,910,0.0,0,500,0.0,4.192483425140381,4.192447662353516
250,10,910,80,910,0.0494505494505494,0,500,0.0,1.9203016757965088,1.9244924783706665
500,93,910,78,910,0.0939560439560439,0,500,0.0,1.1334195137023926,1.1316100358963013
750,99,910,71,910,0.0934065934065934,10,500,0.02,0.922111988067627,0.921503245830536
1000,202,910,84,910,0.1571428571428571,40,500,0.08,0.7920569777488708,0.791181743144989
1250,253,910,147,910,0.2197802197802197,80,500,0.16,0.7281853556632996,0.7297061681747437
1500,447,910,247,910,0.3813186813186813,150,500,0.3,0.6803954839706421,0.679852306842804
1750,513,910,379,910,0.4901098901098901,214,500,0.428,0.658324658870697,0.6544808745384216
2000,510,910,385,910,0.4917582417582417,280,500,0.56,0.6368324160575867,0.6396591663360596
2250,666,910,482,910,0.6307692307692307,310,500,0.62,0.6038055419921875,0.6056972146034241
2500,708,910,513,910,0.6708791208791208,240,500,0.48,0.5843912959098816,0.5841690897941589
2750,767,910,562,910,0.7302197802197802,289,500,0.578,0.593354344367981,0.5958995819091797
3000,783,910,656,910,0.7906593406593406,290,500,0.58,0.5535653233528137,0.5534679293632507
3250,776,910,702,910,0.8120879120879121,380,500,0.76,0.5427719354629517,0.543728768825531
3500,866,910,676,910,0.8472527472527472,325,500,0.65,0.5334646701812744,0.5328733325004578
3750,793,910,692,910,0.8159340659340659,349,500,0.698,0.5304164886474609,0.5291785597801208
4000,814,910,720,910,0.8428571428571429,327,500,0.654,0.5246618986129761,0.5268179774284363
4250,780,910,688,910,0.8065934065934066,380,500,0.76,0.5120124220848083,0.5123360753059387
4500,776,910,706,910,0.8142857142857143,326,500,0.652,0.5087397694587708,0.5081007480621338
4750,817,910,671,910,0.8175824175824176,375,500,0.75,0.4951438903808594,0.4951193928718567
5000,817,910,727,910,0.8483516483516483,385,500,0.77,0.4879817962646484,0.4886158406734466
5250,830,910,655,910,0.8159340659340659,344,500,0.688,0.4952245652675628,0.4958127737045288
5500,779,910,714,910,0.8203296703296703,385,500,0.77,0.4839321970939636,0.484315276145935
5750,782,910,740,910,0.8362637362637363,338,500,0.676,0.4795011579990387,0.4818159341812134
6000,807,910,776,910,0.8697802197802198,398,500,0.796,0.4745191931724548,0.4737318456172943
6250,770,910,750,910,0.8351648351648352,415,500,0.83,0.4878665208816528,0.4868251085281372
6500,786,910,709,910,0.8214285714285714,389,500,0.778,0.475686639547348,0.4754815697669983
6750,850,910,786,910,0.8989010989010989,389,500,0.778,0.4702334105968475,0.4689631760120392
7000,806,910,759,910,0.8598901098901099,385,500,0.77,0.4747534692287445,0.4742518663406372
7250,804,910,753,910,0.8554945054945055,390,500,0.78,0.4795076251029968,0.478521466255188
7500,800,910,711,910,0.8302197802197803,366,500,0.732,0.4748809337615967,0.4748055338859558
7750,823,910,818,910,0.9016483516483516,420,500,0.84,0.4601263105869293,0.4578151404857635
8000,836,910,793,910,0.8950549450549451,371,500,0.742,0.4632934629917145,0.4631852805614471
8250,761,910,737,910,0.823076923076923,407,500,0.814,0.4616496562957763,0.4606790840625763
8500,831,910,805,910,0.8989010989010989,384,500,0.768,0.4560376405715942,0.4561823904514313
8750,727,910,764,910,0.8192307692307692,360,500,0.72,0.4518018960952759,0.4509783685207367
9000,837,910,827,910,0.9142857142857144,377,500,0.754,0.4580900073051452,0.458205372095108
9250,764,910,754,910,0.8340659340659341,382,500,0.764,0.4534846544265747,0.4538048505783081
9500,805,910,758,910,0.8587912087912087,400,500,0.8,0.4450920224189758,0.4453623294830322
9750,826,910,776,910,0.8802197802197802,434,500,0.868,0.4386537671089172,0.4390742778778076
10000,820,910,802,910,0.8912087912087913,440,500,0.88,0.4395589828491211,0.4400556087493896
10250,816,910,799,910,0.8873626373626373,450,500,0.9,0.4420661032199859,0.4427046477794647
10500,835,910,801,910,0.8989010989010989,442,500,0.884,0.4359396696090698,0.4346713125705719
10750,776,910,840,910,0.8879120879120879,422,500,0.844,0.4321499764919281,0.4335965812206268
11000,769,910,786,910,0.8543956043956044,425,500,0.85,0.4279770255088806,0.4292027652263641
11250,810,910,795,910,0.8818681318681318,429,500,0.858,0.4324064254760742,0.4307730197906494
11500,780,910,796,910,0.865934065934066,416,500,0.832,0.4306425452232361,0.4312143325805664
11750,775,910,757,910,0.8417582417582418,430,500,0.86,0.4316028654575348,0.4309005737304687
12000,790,910,792,910,0.8692307692307693,453,500,0.906,0.4275461435317993,0.4278794825077057
12250,810,910,754,910,0.8593406593406593,387,500,0.774,0.4270401000976562,0.427622526884079
12500,768,910,766,910,0.8428571428571429,430,500,0.86,0.4254579842090606,0.4264028072357178
12750,793,910,797,910,0.8736263736263736,410,500,0.82,0.4236577749252319,0.4245861172676086
13000,803,910,769,910,0.8637362637362638,412,500,0.824,0.4225373864173889,0.4231226444244385
13250,830,910,773,910,0.8807692307692307,403,500,0.806,0.4215609431266784,0.4212170839309692
13500,791,910,813,910,0.8813186813186813,409,500,0.818,0.419875830411911,0.4220810234546661
13750,832,910,814,910,0.9043956043956044,409,500,0.818,0.4204694330692291,0.4216566383838653
14000,819,910,816,910,0.8983516483516484,420,500,0.84,0.4174338281154632,0.4173198044300079
14250,818,910,820,910,0.9,396,500,0.792,0.4180579483509063,0.4199258089065552
14500,812,910,792,910,0.8813186813186813,418,500,0.836,0.418257474899292,0.4192832708358764
14750,775,910,832,910,0.8829670329670329,433,500,0.866,0.4134397208690643,0.4124227464199066
15000,850,910,813,910,0.9137362637362636,430,500,0.86,0.4118162393569946,0.4119117856025696
15250,807,910,840,910,0.904945054945055,410,500,0.82,0.4119776487350464,0.4121774435043335
15500,826,910,817,910,0.9027472527472528,432,500,0.864,0.4116457998752594,0.4127073287963867
15750,812,910,839,910,0.9071428571428573,420,500,0.84,0.4098792672157287,0.4097555875778198
16000,841,910,820,910,0.9126373626373626,426,500,0.852,0.4127398729324341,0.4142056703567505
16250,840,910,815,910,0.9093406593406592,414,500,0.828,0.4079392552375793,0.4078989326953888
16500,830,910,820,910,0.9065934065934066,436,500,0.872,0.4080075025558471,0.4087713658809662
16750,845,910,850,910,0.9313186813186812,440,500,0.88,0.4295151829719543,0.4293226301670074
17000,836,910,850,910,0.9263736263736264,433,500,0.866,0.4036727845668793,0.4040023386478424
17250,850,910,814,910,0.9142857142857144,422,500,0.844,0.4037580788135528,0.404008001089096
17500,832,910,870,910,0.9351648351648352,418,500,0.836,0.4026046693325043,0.4026812314987182
17750,814,910,850,910,0.9142857142857144,412,500,0.824,0.402526706457138,0.4025587439537048
18000,826,910,865,910,0.9291208791208792,436,500,0.872,0.4006823599338531,0.4015787839889526
18250,856,910,851,910,0.937912087912088,416,500,0.832,0.4014809429645538,0.4012899696826935
18500,838,910,856,910,0.9307692307692308,418,500,0.836,0.4022467732429504,0.4020666480064392
18750,830,910,880,910,0.9395604395604396,417,500,0.834,0.4007894992828369,0.4003252387046814
19000,828,910,870,910,0.932967032967033,420,500,0.84,0.3970108330249786,0.3976413309574127
19250,856,910,849,910,0.9368131868131868,420,500,0.84,0.3988271951675415,0.3984798491001129
19500,840,910,864,910,0.9362637362637364,425,500,0.85,0.4010562002658844,0.4008749425411224
19750,850,910,870,910,0.945054945054945,431,500,0.862,0.3967013955116272,0.3953170776367187
20000,832,910,844,910,0.9208791208791208,434,500,0.868,0.3943051397800445,0.3942287862300873
20250,838,910,875,910,0.9412087912087912,425,500,0.85,0.3954290449619293,0.3955406844615936
20500,824,910,845,910,0.917032967032967,420,500,0.84,0.3942919075489044,0.3933087289333343
20750,839,910,861,910,0.934065934065934,424,500,0.848,0.3940999507904053,0.3928094208240509
21000,856,910,870,910,0.9483516483516484,425,500,0.85,0.3928657174110412,0.3936666846275329
21250,850,910,863,910,0.9412087912087912,424,500,0.848,0.3916807174682617,0.3924211859703064
21500,860,910,870,910,0.9505494505494504,431,500,0.862,0.3923815786838531,0.3909085392951965
21750,861,910,860,910,0.9456043956043956,416,500,0.832,0.3913904130458832,0.3908221423625946
22000,837,910,860,910,0.9324175824175824,422,500,0.844,0.3921059072017669,0.3912786245346069
22250,850,910,851,910,0.9346153846153846,409,500,0.818,0.3919259905815124,0.3897018730640411
22500,849,910,857,910,0.9373626373626374,421,500,0.842,0.3910107314586639,0.3904243409633636
22750,861,910,857,910,0.943956043956044,429,500,0.858,0.3901988565921783,0.3893937766551971
23000,839,910,856,910,0.9313186813186812,432,500,0.864,0.3889588117599487,0.3893206119537353
23250,832,910,845,910,0.9214285714285714,444,500,0.888,0.3889166116714477,0.3894344270229339
23500,850,910,860,910,0.9395604395604396,437,500,0.874,0.3883823454380035,0.3890016674995422
23750,840,910,864,910,0.9362637362637364,428,500,0.856,0.3875404596328735,0.389122873544693
24000,860,910,880,910,0.956043956043956,444,500,0.888,0.388259619474411,0.3873183727264404
24250,845,910,879,910,0.9472527472527472,437,500,0.874,0.3883875608444214,0.3880822360515594
24500,842,910,863,910,0.9368131868131868,412,500,0.824,0.3884812891483307,0.3874687850475311
24750,850,910,867,910,0.9434065934065934,437,500,0.874,0.3879668414592743,0.3894261419773102
25000,860,910,870,910,0.9505494505494504,421,500,0.842,0.3879468441009521,0.3876575529575348
25250,848,910,875,910,0.9467032967032968,422,500,0.844,0.3878758549690246,0.388641893863678
25500,860,910,873,910,0.952197802197802,412,500,0.824,0.3882066309452057,0.3876405954360962
25750,860,910,866,910,0.9483516483516484,417,500,0.834,0.3887353241443634,0.3880571126937866
26000,854,910,868,910,0.946153846153846,422,500,0.844,0.3880884945392608,0.3877875208854675
26250,870,910,860,910,0.9505494505494504,437,500,0.874,0.3870316743850708,0.3869188725948334
26500,851,910,870,910,0.9456043956043956,416,500,0.832,0.3874606192111969,0.388283908367157
26750,854,910,875,910,0.95,434,500,0.868,0.3873834908008575,0.3872228264808655
27000,850,910,876,910,0.9483516483516484,413,500,0.826,0.387444257736206,0.387348473072052
27250,855,910,875,910,0.9505494505494504,412,500,0.824,0.3878047168254852,0.388695478439331
27500,843,910,856,910,0.9335164835164836,446,500,0.892,0.3879669904708862,0.387938529253006
27750,850,910,863,910,0.9412087912087912,435,500,0.87,0.3873980045318603,0.388357013463974
28000,845,910,869,910,0.9417582417582416,431,500,0.862,0.3882801830768585,0.388474553823471
28250,848,910,872,910,0.945054945054945,426,500,0.852,0.3878262639045715,0.387297511100769
28500,846,910,853,910,0.9335164835164836,438,500,0.876,0.3878803253173828,0.3884899020195007
28750,860,910,860,910,0.945054945054945,438,500,0.876,0.3872601389884949,0.3885886669158935
29000,848,910,870,910,0.943956043956044,427,500,0.854,0.3872605264186859,0.3877894282341003
29250,844,910,869,910,0.9412087912087912,434,500,0.868,0.3888890743255615,0.3875932395458221
29500,866,910,870,910,0.953846153846154,443,500,0.886,0.3885405659675598,0.3880334794521332
29750,857,910,852,910,0.939010989010989,434,500,0.868,0.3873838484287262,0.3865950107574463
30000,860,910,866,910,0.9483516483516483,429,500,0.858,0.3876533508300781,0.38787513971328735
