iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,0,0,0,0.0,0,500,0.0,3.955345869064331,3.9556689262390137
250,0,0,0,0,0.0,0,500,0.0,1.3939673900604248,1.394190788269043
500,0,0,0,0,0.0,40,500,0.08,0.5230190753936768,0.5231369137763977
750,0,0,0,0,0.0,360,500,0.72,0.3274903893470764,0.3276053667068481
1000,0,0,0,0,0.0,460,500,0.92,0.2820962965488434,0.2829629182815552
1250,0,0,0,0,0.0,465,500,0.93,0.2576588690280914,0.2586968839168548
1500,0,0,0,0,0.0,450,500,0.9,0.2358259558677673,0.2364952117204666
1750,0,0,0,0,0.0,490,500,0.98,0.2241142094135284,0.2244557738304138
2000,0,0,0,0,0.0,470,500,0.94,0.2147978544235229,0.2146697640419006
2250,0,0,0,0,0.0,480,500,0.96,0.2109532207250595,0.2114879637956619
2500,0,0,0,0,0.0,487,500,0.974,0.2068919539451599,0.2074595093727111
2750,0,0,0,0,0.0,480,500,0.96,0.203897476196289,0.2040782570838928
3000,0,0,0,0,0.0,490,500,0.98,0.2030337005853653,0.2030107676982879
3250,0,0,0,0,0.0,480,500,0.96,0.2006618827581405,0.2001867741346359
3500,0,0,0,0,0.0,470,500,0.94,0.1980813145637512,0.1979590803384781
3750,0,0,0,0,0.0,480,500,0.96,0.2013300508260727,0.2012175619602203
4000,0,0,0,0,0.0,480,500,0.96,0.1995439976453781,0.1997161507606506
4250,0,0,0,0,0.0,480,500,0.96,0.1984161436557769,0.1982877552509308
4500,0,0,0,0,0.0,480,500,0.96,0.1963584274053573,0.1961924582719802
4750,0,0,0,0,0.0,490,500,0.98,0.1945735961198806,0.19435615837574
5000,0,0,0,0,0.0,500,500,1.0,0.192458689212799,0.1919697523117065
5250,0,0,0,0,0.0,490,500,0.98,0.1932126879692077,0.193018153309822
5500,0,0,0,0,0.0,480,500,0.96,0.1923571079969406,0.1920935809612274
5750,0,0,0,0,0.0,490,500,0.98,0.1908355504274368,0.1914258599281311
6000,0,0,0,0,0.0,490,500,0.98,0.1905799508094787,0.1905416548252105
6250,0,0,0,0,0.0,490,500,0.98,0.1890449374914169,0.189594954252243
6500,0,0,0,0,0.0,500,500,1.0,0.1905570775270462,0.1903401017189026
6750,0,0,0,0,0.0,495,500,0.99,0.1894329488277435,0.1891920864582061
7000,0,0,0,0,0.0,480,500,0.96,0.1892860978841781,0.1895555853843689
7250,0,0,0,0,0.0,480,500,0.96,0.1897705644369125,0.1899508535861969
7500,0,0,0,0,0.0,490,500,0.98,0.1885880827903747,0.188421368598938
7750,0,0,0,0,0.0,500,500,1.0,0.1887165457010269,0.1889830082654953
8000,0,0,0,0,0.0,490,500,0.98,0.1884484142065048,0.1882562488317489
8250,0,0,0,0,0.0,500,500,1.0,0.1875532269477844,0.1878287196159362
8500,0,0,0,0,0.0,497,500,0.994,0.1881569027900695,0.188500702381134
8750,0,0,0,0,0.0,500,500,1.0,0.188040554523468,0.1877470016479492
9000,0,0,0,0,0.0,500,500,1.0,0.1879767924547195,0.1878745108842849
9250,0,0,0,0,0.0,500,500,1.0,0.1871561110019683,0.1873366385698318
9500,0,0,0,0,0.0,500,500,1.0,0.1876722127199173,0.187530905008316
9750,0,0,0,0,0.0,490,500,0.98,0.1868578791618347,0.1872442215681076
10000,0,0,0,0,0.0,500,500,1.0,0.1863726079463958,0.1866594552993774
10250,0,0,0,0,0.0,490,500,0.98,0.1867091059684753,0.1863898634910583
10500,0,0,0,0,0.0,500,500,1.0,0.1859734654426574,0.1855116486549377
10750,0,0,0,0,0.0,490,500,0.98,0.1857592910528183,0.1861761510372162
11000,0,0,0,0,0.0,500,500,1.0,0.185959130525589,0.1860297918319702
11250,0,0,0,0,0.0,500,500,1.0,0.1857704371213913,0.1852201074361801
11500,0,0,0,0,0.0,490,500,0.98,0.1856507360935211,0.1856647431850433
11750,0,0,0,0,0.0,500,500,1.0,0.1858219355344772,0.1856167763471603
12000,0,0,0,0,0.0,500,500,1.0,0.1854878962039947,0.1851675808429718
12250,0,0,0,0,0.0,500,500,1.0,0.1849817484617233,0.1853638589382171
12500,0,0,0,0,0.0,490,500,0.98,0.1852612346410751,0.1852197647094726
12750,0,0,0,0,0.0,500,500,1.0,0.1857553124427795,0.1854572296142578
13000,0,0,0,0,0.0,500,500,1.0,0.1843360513448715,0.1846408098936081
13250,0,0,0,0,0.0,500,500,1.0,0.1847079992294311,0.1850905269384384
13500,0,0,0,0,0.0,490,500,0.98,0.1845742464065551,0.1842492669820785
13750,0,0,0,0,0.0,500,500,1.0,0.184132844209671,0.1845362484455108
14000,0,0,0,0,0.0,500,500,1.0,0.1838893741369247,0.1841391772031784
